start,end,duration_min
2020-03-22 17:10:00,2020-03-22 17:15:00,5.0
2020-03-22 17:20:00,2020-03-22 17:25:00,5.0
2020-03-22 17:30:00,2020-03-22 17:35:00,5.0
2020-05-09 22:05:00,2020-05-09 22:10:00,5.0
2020-05-10 06:10:00,2020-05-10 06:15:00,5.0
2020-05-11 12:15:00,2020-05-11 12:20:00,5.0
2020-05-12 13:45:00,2020-05-12 13:50:00,5.0
2020-05-12 20:50:00,2020-05-12 21:00:00,10.0
2020-05-13 01:40:00,2020-05-13 01:45:00,5.0
2020-05-13 02:05:00,2020-05-13 02:10:00,5.0
2020-05-16 19:30:00,2020-05-16 19:35:00,5.0
2020-06-07 15:05:00,2020-06-07 15:10:00,5.0
2020-06-12 14:55:00,2020-06-12 15:00:00,5.0
2020-06-16 14:30:00,2020-06-16 14:35:00,5.0
2020-06-16 14:50:00,2020-06-16 14:55:00,5.0
2020-06-17 06:20:00,2020-06-17 06:25:00,5.0
2020-06-17 08:10:00,2020-06-17 08:15:00,5.0
2020-06-17 09:15:00,2020-06-17 09:20:00,5.0
2020-06-17 09:35:00,2020-06-17 09:40:00,5.0
2020-06-17 09:45:00,2020-06-17 09:50:00,5.0
2020-06-17 10:55:00,2020-06-17 11:00:00,5.0
2020-06-17 11:45:00,2020-06-17 11:50:00,5.0
2020-06-17 12:30:00,2020-06-17 12:35:00,5.0
2020-06-17 13:25:00,2020-06-17 13:30:00,5.0
2020-06-17 13:45:00,2020-06-17 13:50:00,5.0
2020-06-17 13:55:00,2020-06-17 14:00:00,5.0
2020-06-17 14:15:00,2020-06-17 14:20:00,5.0
2020-06-17 14:25:00,2020-06-17 14:30:00,5.0
2020-06-19 15:20:00,2020-06-19 15:30:00,10.0
2020-06-20 13:50:00,2020-06-20 13:55:00,5.0
2020-06-20 15:05:00,2020-06-20 15:10:00,5.0
2020-06-26 11:35:00,2020-06-26 11:40:00,5.0
2020-06-26 15:35:00,2020-06-26 15:40:00,5.0
2020-06-26 16:40:00,2020-06-26 16:45:00,5.0
2020-07-08 16:15:00,2020-07-08 16:25:00,10.0
2020-07-09 11:35:00,2020-07-09 11:40:00,5.0
2020-07-11 06:00:00,2020-07-11 06:05:00,5.0
2020-07-11 06:25:00,2020-07-11 06:30:00,5.0
2020-07-11 07:25:00,2020-07-11 07:30:00,5.0
2020-07-12 21:30:00,2020-07-12 21:35:00,5.0
2020-07-13 03:15:00,2020-07-13 03:20:00,5.0
2020-07-16 11:35:00,2020-07-16 11:40:00,5.0
2020-07-16 12:00:00,2020-07-16 12:05:00,5.0
2020-07-16 12:25:00,2020-07-16 12:30:00,5.0
2020-07-16 12:40:00,2020-07-16 12:45:00,5.0
2020-07-18 12:55:00,2020-07-18 13:00:00,5.0
2020-07-18 18:10:00,2020-07-18 18:15:00,5.0
2020-07-18 19:15:00,2020-07-18 19:20:00,5.0
2020-07-18 19:40:00,2020-07-18 19:45:00,5.0
2020-07-18 20:35:00,2020-07-18 20:40:00,5.0
2020-07-18 21:05:00,2020-07-18 21:10:00,5.0
2020-07-18 21:30:00,2020-07-18 21:35:00,5.0
2020-07-18 21:40:00,2020-07-18 21:45:00,5.0
2020-07-18 22:35:00,2020-07-18 22:40:00,5.0
2020-07-18 22:45:00,2020-07-18 22:50:00,5.0
2020-07-19 01:00:00,2020-07-19 01:05:00,5.0
2020-07-19 03:20:00,2020-07-19 03:25:00,5.0
2020-07-19 03:30:00,2020-07-19 03:35:00,5.0
2020-07-19 16:10:00,2020-07-19 16:15:00,5.0
2020-07-19 17:30:00,2020-07-19 17:35:00,5.0
2020-07-19 21:25:00,2020-07-19 21:30:00,5.0
2020-07-19 22:55:00,2020-07-19 23:00:00,5.0
2020-07-19 23:20:00,2020-07-19 23:25:00,5.0
2020-07-19 23:30:00,2020-07-19 23:45:00,15.0
2020-07-20 00:00:00,2020-07-20 00:05:00,5.0
2020-07-20 00:15:00,2020-07-20 00:20:00,5.0
2020-07-20 00:25:00,2020-07-20 00:30:00,5.0
2020-07-20 01:15:00,2020-07-20 01:20:00,5.0
2020-07-20 01:35:00,2020-07-20 01:40:00,5.0
2020-07-20 03:10:00,2020-07-20 03:15:00,5.0
2020-07-20 03:55:00,2020-07-20 04:00:00,5.0
2020-07-20 05:25:00,2020-07-20 05:30:00,5.0
2020-07-20 05:50:00,2020-07-20 05:55:00,5.0
2020-07-20 06:00:00,2020-07-20 06:05:00,5.0
2020-07-20 06:10:00,2020-07-20 06:15:00,5.0
2020-07-20 07:25:00,2020-07-20 07:30:00,5.0
2020-07-20 07:55:00,2020-07-20 08:00:00,5.0
2020-07-20 09:35:00,2020-07-20 09:40:00,5.0
2020-07-20 10:00:00,2020-07-20 10:05:00,5.0
2020-07-20 10:30:00,2020-07-20 10:35:00,5.0
2020-07-20 13:35:00,2020-07-20 13:40:00,5.0
2020-07-20 15:25:00,2020-07-20 15:30:00,5.0
2020-07-20 17:30:00,2020-07-20 17:35:00,5.0
2020-07-20 18:40:00,2020-07-20 18:45:00,5.0
2020-07-20 18:55:00,2020-07-20 19:00:00,5.0
2020-07-20 19:05:00,2020-07-20 19:10:00,5.0
2020-07-20 20:05:00,2020-07-20 20:10:00,5.0
2020-07-20 21:15:00,2020-07-20 21:20:00,5.0
2020-07-20 21:30:00,2020-07-20 21:35:00,5.0
2020-07-20 21:40:00,2020-07-20 21:45:00,5.0
2020-07-20 22:15:00,2020-07-20 22:20:00,5.0
2020-07-21 00:10:00,2020-07-21 00:15:00,5.0
2020-07-21 00:45:00,2020-07-21 00:50:00,5.0
2020-07-21 01:30:00,2020-07-21 01:35:00,5.0
2020-07-21 01:55:00,2020-07-21 02:00:00,5.0
2020-07-21 02:25:00,2020-07-21 02:30:00,5.0
2020-07-21 04:35:00,2020-07-21 04:40:00,5.0
2020-07-21 04:55:00,2020-07-21 05:10:00,15.0
2020-07-21 05:20:00,2020-07-21 05:25:00,5.0
2020-07-21 05:55:00,2020-07-21 06:00:00,5.0
2020-07-21 06:30:00,2020-07-21 06:35:00,5.0
2020-07-21 06:40:00,2020-07-21 06:45:00,5.0
2020-07-21 09:40:00,2020-07-21 09:45:00,5.0
