,true,persist_pred,arima_pred
2020-02-06 02:55:00,884.86,899.76,891.6574460625744
2020-02-06 03:00:00,886.47,884.86,891.6574460625744
2020-02-06 03:05:00,920.27,886.47,891.6574460625744
2020-02-06 03:10:00,886.12,920.27,891.6574460625744
2020-02-06 03:15:00,897.56,886.12,891.6574460625744
2020-02-06 03:20:00,913.29,897.56,891.6574460625744
2020-02-06 03:25:00,881.43,913.29,891.6574460625744
2020-02-06 03:30:00,893.74,881.43,891.6574460625744
2020-02-06 03:35:00,904.6,893.74,891.6574460625744
2020-02-06 03:40:00,912.88,904.6,891.6574460625744
2020-02-06 03:45:00,902.77,912.88,891.6574460625744
2020-02-06 03:50:00,906.05,902.77,891.6574460625744
2020-02-06 03:55:00,904.82,906.05,891.6574460625744
2020-02-06 04:00:00,912.65,904.82,891.6574460625744
2020-02-06 04:05:00,899.82,912.65,891.6574460625744
2020-02-06 04:10:00,929.58,899.82,891.6574460625744
2020-02-06 04:15:00,906.57,929.58,891.6574460625744
2020-02-06 04:20:00,908.69,906.57,891.6574460625744
2020-02-06 04:25:00,890.26,908.69,891.6574460625744
2020-02-06 04:30:00,885.7,890.26,891.6574460625744
2020-02-06 04:35:00,917.94,885.7,891.6574460625744
2020-02-06 04:40:00,903.09,917.94,891.6574460625744
2020-02-06 04:45:00,885.99,903.09,891.6574460625744
2020-02-06 04:50:00,889.7,885.99,891.6574460625744
2020-02-06 04:55:00,895.26,889.7,891.6574460625744
2020-02-06 05:00:00,924.47,895.26,891.6574460625744
2020-02-06 05:05:00,909.04,924.47,891.6574460625744
2020-02-06 05:10:00,899.07,909.04,891.6574460625744
2020-02-06 05:15:00,901.65,899.07,891.6574460625744
2020-02-06 05:20:00,902.47,901.65,891.6574460625744
2020-02-06 05:25:00,900.35,902.47,891.6574460625744
2020-02-06 05:30:00,894.61,900.35,891.6574460625744
2020-02-06 05:35:00,901.27,894.61,891.6574460625744
2020-02-06 05:40:00,897.87,901.27,891.6574460625744
2020-02-06 05:45:00,892.14,897.87,891.6574460625744
2020-02-06 05:50:00,888.75,892.14,891.6574460625744
2020-02-06 05:55:00,897.74,888.75,891.6574460625744
2020-02-06 06:00:00,904.46,897.74,891.6574460625744
2020-02-06 06:05:00,910.42,904.46,891.6574460625744
2020-02-06 06:10:00,900.2,910.42,891.6574460625744
2020-02-06 06:15:00,888.48,900.2,891.6574460625744
2020-02-06 06:20:00,896.51,888.48,891.6574460625744
2020-02-06 06:25:00,884.16,896.51,891.6574460625744
2020-02-06 06:30:00,905.02,884.16,891.6574460625744
2020-02-06 06:35:00,896.25,905.02,891.6574460625744
2020-02-06 06:40:00,885.99,896.25,891.6574460625744
2020-02-06 06:45:00,895.11,885.99,891.6574460625744
2020-02-06 06:50:00,913.76,895.11,891.6574460625744
2020-02-06 06:55:00,881.03,913.76,891.6574460625744
2020-02-06 07:00:00,901.18,881.03,891.6574460625744
2020-02-06 07:05:00,915.98,901.18,891.6574460625744
2020-02-06 07:10:00,900.47,915.98,891.6574460625744
2020-02-06 07:15:00,904.07,900.47,891.6574460625744
2020-02-06 07:20:00,900.2,904.07,891.6574460625744
2020-02-06 07:25:00,912.58,900.2,891.6574460625744
2020-02-06 07:30:00,907.97,912.58,891.6574460625744
2020-02-06 07:35:00,896.6,907.97,891.6574460625744
2020-02-06 07:40:00,897.85,896.6,891.6574460625744
2020-02-06 07:45:00,897.36,897.85,891.6574460625744
2020-02-06 07:50:00,894.46,897.36,891.6574460625744
2020-02-06 07:55:00,899.69,894.46,891.6574460625744
2020-02-06 08:00:00,909.99,899.69,891.6574460625744
2020-02-06 08:05:00,907.77,909.99,891.6574460625744
2020-02-06 08:10:00,887.31,907.77,891.6574460625744
2020-02-06 08:15:00,896.57,887.31,891.6574460625744
2020-02-06 08:20:00,891.76,896.57,891.6574460625744
2020-02-06 08:25:00,896.99,891.76,891.6574460625744
2020-02-06 08:30:00,903.49,896.99,891.6574460625744
2020-02-06 08:35:00,903.31,903.49,891.6574460625744
2020-02-06 08:40:00,899.28,903.31,891.6574460625744
2020-02-06 08:45:00,890.58,899.28,891.6574460625744
2020-02-06 08:50:00,894.05,890.58,891.6574460625744
2020-02-06 08:55:00,893.87,894.05,891.6574460625744
2020-02-06 09:00:00,903.21,893.87,891.6574460625744
2020-02-06 09:05:00,904.59,903.21,891.6574460625744
2020-02-06 09:10:00,903.05,904.59,891.6574460625744
2020-02-06 09:15:00,892.89,903.05,891.6574460625744
2020-02-06 09:20:00,886.57,892.89,891.6574460625744
2020-02-06 09:25:00,914.02,886.57,891.6574460625744
2020-02-06 09:30:00,903.32,914.02,891.6574460625744
2020-02-06 09:35:00,889.14,903.32,891.6574460625744
2020-02-06 09:40:00,898.76,889.14,891.6574460625744
2020-02-06 09:45:00,890.33,898.76,891.6574460625744
